             0           1          2          3          4          5          6          7          8          9          10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27        28         29        30         31        32        33         34         35         36         37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56         57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99
0     18.807440   -0.806626   0.768554  -0.179588  -2.214500  -0.249420   0.774254  -3.120321  -0.388552  -0.883959   1.980215  -0.806352   0.550787   0.401261   1.847403   1.066252   1.144017   1.661100  -0.755460   1.439633   0.233667  -0.142082  -1.162789   1.923275  -0.147410   1.210513   0.616928   0.807166 -0.770807   1.053140 -1.331237   0.874005 -0.018938  0.236055  -0.182350  -0.530044  -0.841984   0.481881  1.745055 -0.115941 -0.023819 -0.517544 -0.585510 -0.385444  0.091380  1.257072  1.837773  0.918579 -0.659013  1.149113 -2.143724 -1.940710  0.158693 -0.947807 -0.999878 -0.975771 -1.144840  -0.402144  0.770816 -0.681870  0.120550  1.131274  0.538394 -1.482996  0.205418 -1.361006 -1.144202  2.500591  0.174355 -0.243777  0.101783  0.712756 -0.433591 -0.082956 -1.285669 -0.419194 -0.768957  1.062213 -0.393912  1.233494 -0.175549  0.381014  0.099733 -1.055211 -0.322914 -2.944716  1.919343 -0.761039 -0.432120  0.239854 -0.206524  0.066389 -1.153397 -2.746413 -0.888055  0.149116 -0.804426  0.224513 -0.996536  0.381289
1     66.832060   -2.707218  -6.300908  -3.503351   8.715967   1.307495  -3.834552  -8.059506  -5.984659   3.206704   6.969389   0.825470   4.069307  -5.333531  12.554572   5.969076   7.638837  -1.048885   1.379390  -6.217722  -5.624220   6.073578  -1.087859  -2.080987  10.459470  -5.361194  -9.252331  -6.722058 -6.218766   1.466790 -7.262213  13.828470  5.183184 -6.745962 -10.812327  -7.996853  -6.212998  -7.301590  0.499839 -0.461056 -1.035921 -2.517254  2.513667 -1.258565 -1.016057 -2.960455  2.013933 -1.268277 -0.573732  2.732552  0.431531  2.450140  2.412459  0.244181  1.397651  0.780780  2.055325   0.402208  2.611211  1.180546 -0.822895 -4.387261 -2.067045  2.377556 -2.159090 -0.800435 -2.141695 -0.865608  1.801741 -2.912190 -0.611732 -0.145207 -1.316807 -0.433231 -1.392283 -0.373787 -0.109857  1.897474  0.500472  0.718277  1.481311 -0.760062 -1.014887 -0.139454  0.960006 -1.058015 -1.197740  0.970349 -1.406399 -1.085851 -0.883006  0.760335 -0.290320 -1.072500 -0.042527 -0.193396  0.256865  0.159667 -0.702230  0.600593
2     21.337604   -1.098306  -3.871082   2.580030  -4.101325   2.613941   0.436734  -1.234505  -1.764436   2.081485  -3.135206   0.206006   1.286429  -1.261440  -2.133130   0.827865  -3.059918   0.963552   2.013343   0.953355  -0.946515  -1.172759  -1.418228  -1.656882  -1.075196   1.350887  -0.537943   0.181820 -0.663446   1.169301 -0.438853  -0.927965  1.759359  0.639299  -0.317473  -2.893824  -0.394407   1.014807 -0.214477 -0.543407  0.687792  1.568381 -1.160386 -1.074962 -0.804814 -0.268431  0.327019  0.521975 -0.584616  0.197546  0.076510  1.132943  0.894869  1.244258  1.102359  0.464547 -0.258176  -1.144283 -1.229088 -0.025727  1.313283  1.162805  0.448446  1.160390  0.690589 -0.847794 -0.555951  0.272187  1.481216  0.161416 -1.226174  0.374078  0.295229 -1.287773 -0.158600 -0.111165 -0.771870  0.403400 -1.369855  0.665306  0.277506 -0.409621 -1.229365 -1.368687  0.314919  0.232406  0.607797 -1.501304 -0.484741 -1.252171 -0.787602  0.607103  0.990383  1.000500 -0.118878  0.104867 -0.219029 -0.296889 -0.689351 -0.699252
3     14.627374   -0.494529  -3.851287  -0.257698   0.941360   0.960770  -1.882329  -2.656358  -1.351278   0.883580  -0.982044  -2.807548   0.249166  -2.206964  -3.233345   0.301845  -4.302963   1.730752  -2.675214   0.844110   1.744446  -0.247130   1.788347   0.987968   0.696444   0.696639   1.153595   2.821307  0.669640  -0.122128 -3.389645   1.191281 -0.701211 -0.926200  -1.710287   1.380330  -0.030373  -0.576583 -0.362537 -1.849959  0.726310  2.042148  0.729551  0.201121 -0.688870 -0.661764  0.667176  0.517676 -0.100858  1.051806 -0.878358  0.252619 -0.261059 -2.099875 -0.061994 -0.571895  0.850897  -1.601866  1.894318 -1.542224  0.473794  1.372680 -1.633487 -1.076199  0.431207  1.946103 -0.954391  0.180354 -0.672905 -0.607359 -0.560365 -1.137552 -0.691485 -1.213901 -0.328408 -0.611553  1.407700  0.865337  1.159116  0.073661  2.009443  0.836279  0.831641 -2.092559  0.476146 -0.241940  1.762335 -1.729648 -0.579189  0.854483 -2.608329 -0.850233  1.805944 -0.925048  1.313675  0.931163 -0.133578  0.752380  0.187538  0.321293
4     26.335965   -1.563340   7.862429  -6.634700   1.342564  -1.362320  -4.202095  -9.495921  -0.597724  -2.916478   1.043153  -1.543745  -0.340103   3.622615   2.033599  -0.782445  -6.230081  -3.559928  -1.439545  -3.352522   1.061596  -0.889919  -1.780222   4.359826  -2.150063  -1.471679   0.810571   0.081148  2.354234   2.222513  2.586606   0.077338 -0.896769 -2.109973  -1.587419  -0.701826  -3.124926  -0.835425  0.438951  3.645253  0.543548 -1.374629 -0.715447  0.509085 -2.125238  0.240986 -0.770702  0.202911  1.676994  5.219240  3.079074 -1.542334 -0.849854  1.712012 -1.018991  0.904784 -3.693595   0.755709 -1.423337 -0.283238  1.818651 -0.968235  0.997552  1.907575 -0.030973  0.092795 -0.407815 -0.898722  1.863469  0.597322  0.824124  2.398396 -0.049227  0.019566  0.742048 -2.374860  0.953258 -1.697598 -1.969937  0.912200  2.394088  0.041376 -0.071204 -1.470323  1.846338  4.247453  1.214060 -0.727684 -0.302860 -1.815900  1.411633  0.294951  0.984890 -2.015198  2.251808 -0.197861  0.770888 -0.999393 -0.594080 -0.480744
5      6.745065   -0.206399   0.322378  -1.881754  -0.714219   0.031009  -0.328002  -1.184073  -1.445682   0.099790  -1.097522  -0.285045  -1.878698  -0.046876  -0.798883   1.022420  -0.850421   1.464652  -0.540889   0.100445   0.872637  -1.032583  -0.848935   1.085098   0.210067  -0.735118   0.176831  -0.967127  1.256749  -0.682134  1.266747   0.247641 -0.017964 -0.438612   0.410628  -0.142089   0.171962   0.144971  0.706795 -0.323189 -0.835394  0.325752 -0.245718 -0.517708  0.073196  0.414996 -0.226100 -0.359296 -0.779241  0.510508 -1.030258  0.751977  0.008760 -0.249460  0.407863 -0.217885  1.018397  -0.515610  0.631918 -0.004942 -0.248491 -0.014207 -0.148372 -0.292865 -0.680590  0.485610 -0.013297 -0.353400  0.022246 -0.739778  0.466298 -0.913600  0.974277 -0.440991 -0.304563 -0.015993  0.113594  0.069012  0.572016  0.722676 -0.903600  0.310366 -0.399808 -0.602837 -0.114742 -0.884568  0.357435 -0.601334 -0.764552 -1.130049 -0.448997 -1.009260 -0.191633  0.255414 -0.283098  0.070679  0.082361 -0.398837  0.184028  0.182752
6     10.505701   -0.346577  -0.381590  -1.872406  -0.083515  -1.768444   1.240998   1.089996   0.107926   0.145593   1.817490  -0.017671  -0.390650   0.690933   0.223501   0.458137   0.372489   0.766676  -1.688526   0.443264   0.264652  -0.246836   0.494654   1.603716  -0.992492  -0.233767   0.225166  -1.543089  0.151430   0.788985 -0.421017   1.150688 -0.984406  0.723585  -0.234415   1.618365   0.194485  -0.728192  0.049810 -0.980466  0.420987 -1.719016 -1.480708 -0.206132  0.332891 -0.875997  0.966854  0.845302 -1.879014  0.430095  0.945306 -0.491150  1.348822  0.215228 -1.352660 -0.759959 -1.769033   1.510033 -1.037071 -0.530229  0.340676  0.449489  1.778481 -0.023007  2.618829 -0.708616 -1.406627  1.589951  0.003727  0.293855  1.014824  0.224428  0.721377 -0.492154 -0.311855  0.260042 -0.143369  2.299343  0.297495  0.026940  1.244959 -0.345197  2.082546  0.174268  0.264416 -1.586451  1.621453 -0.709041 -1.579762 -0.825726 -1.669703  1.079938  1.000760 -0.118884  0.541442  1.217166 -2.141043  0.980136  0.128115  0.168482
7      0.248129   -0.015722   1.184378  -0.372289   0.112547   0.198257  -0.109364   0.175446  -0.014764  -0.383761  -0.155837   0.135959   0.574409  -0.586934  -0.158004   0.190387  -0.291067  -0.243166   0.435317   1.288459   0.760785   0.543730   0.344580   0.321302   0.026743  -0.148486  -0.848583   0.419865 -0.142050   0.669675  0.066134   0.003964 -0.168349 -0.213324   0.320004  -0.344234   0.105400   0.114485  0.331389  0.041713 -0.363009  0.419370 -0.103314  0.081512  0.511420  0.494627 -0.958263 -0.209633  0.024111 -0.108267  0.101797  0.375894 -0.004080  0.147463 -0.030513  0.180947  0.370410   0.063638  0.271600 -0.180343 -0.064708 -0.246176 -0.056438  0.047320 -0.059758 -0.107498 -0.043556  0.085331 -0.005498  0.329650  0.029436 -0.220722 -0.003321 -0.100791 -0.264918 -0.165900 -0.133479  0.043595 -0.036438  0.198523  0.114610 -0.410457  0.458213  0.342381 -0.169210 -0.517319  0.081829 -0.053451 -0.322271 -0.300986  0.085748 -0.349402  0.137290 -0.622601 -0.346366 -0.455198 -0.527366 -0.445669  0.312640 -0.278299
8     11.508653   -0.618092   7.943932  -1.595539  -2.873652   0.598180  -1.038427   0.359209  -1.300974  -2.570184  -1.825576  -0.721368   2.183482  -0.513325   0.386950   0.574368  -3.585057  -1.377676   0.959523   4.506632   4.676069  -0.103223   0.539555   2.094452   1.140647   1.476268  -1.884038   0.347899 -1.928699   2.345202 -0.388939   0.035530 -0.284160  0.431851   2.165913   0.117885  -0.990356  -1.638579  1.401598 -0.161824 -0.039257 -0.465897  0.205934 -1.219144  1.590199  1.647050 -2.162126 -0.124770 -0.005955  1.335596  1.385907  1.783316 -0.284052  0.661460 -0.041592  1.771959 -0.321389   0.873972  0.599496 -0.540113 -1.144220 -1.126159  0.379249  0.427784 -0.805549  0.171542 -0.268723  0.506053  0.300416  0.183976  0.389447  0.005437 -0.458928  0.762832  0.223044 -0.594899  0.210009  0.292908 -0.077477 -0.524307  0.877867 -0.088671  0.787392 -0.120981 -0.229909 -0.562423 -0.527222 -0.343304  0.724916 -0.493702 -0.646621 -0.966144  0.253935 -1.461346 -0.798550 -1.341445 -0.546992  0.487537  0.273911 -0.694086
9     14.318104   -0.798966  14.729103  -4.231052  -4.560403  -0.355024  -8.236163   2.869561  -4.547430  -8.364162   2.556342   1.295761   6.163801  -6.522965   2.059927  -4.772647  -2.086947   2.621557   0.172561   3.868872  -2.799734  -0.273031  -1.262874  -3.129064   1.516325  -0.085977   0.456628   2.707294  1.796842   2.400256 -1.180096   2.793974  1.599680 -2.198638  -0.360252  -1.443028   1.316006   0.888401  2.656958 -1.957116 -0.388905  2.848332 -1.298486  1.049300  0.494503  0.169339  0.555363 -2.578204 -0.915782 -1.120265 -3.497236 -1.874952 -0.941659 -0.284420 -1.215821 -1.874206  0.564650   0.003191 -0.245395 -1.092150 -0.609804  1.461460  1.042020  0.074626 -0.781084  0.039050 -0.519356  0.731067  0.913899  0.612434 -0.186692  0.936273  0.504096 -1.323823 -1.984300 -0.814080 -2.021967 -0.457909  0.577637  1.284498 -0.847713 -0.454600  0.065155  0.140118 -1.007104 -1.233444 -0.706218 -0.324565  0.148107  0.571228  0.121210 -0.330778  1.371206 -0.796682  0.643536 -1.647213 -2.422797 -0.495798 -2.013693 -0.123752
